date,open,high,low,close,volume,volume(KAS)
05/27/2023,0.01627,0.018857,0.015483,0.018319,8.8 m,
05/28/2023,0.01838,0.019703,0.018179,0.018799,10.7 m,
05/29/2023,0.01876,0.018912,0.017259,0.017854,8.8 m,
05/30/2023,0.017903,0.018506,0.016851,0.017091,7 m,
05/31/2023,0.017147,0.017737,0.015521,0.016193,6.7 m,
06/01/2023,0.016197,0.016197,0.014464,0.015809,5.8 m,
06/02/2023,0.015804,0.01631,0.014841,0.015783,5.3 m,
06/03/2023,0.015778,0.016424,0.015084,0.015502,4.6 m,
06/04/2023,0.015577,0.016897,0.015239,0.016623,4.2 m,
06/05/2023,0.016584,0.017121,0.015981,0.016093,5.6 m,
06/06/2023,0.016088,0.016118,0.014467,0.014574,3.9 m,
06/07/2023,0.014574,0.021243,0.013633,0.015107,5.8 m,
06/08/2023,0.015113,0.015439,0.014482,0.015021,4.9 m,
06/09/2023,0.015063,0.015481,0.014606,0.015361,3.5 m,
06/10/2023,0.015444,0.016497,0.015307,0.0159,4.9 m,
06/11/2023,0.015922,0.015999,0.01448,0.015646,6 m,
06/12/2023,0.015536,0.015636,0.015051,0.01532,4.5 m,
06/13/2023,0.015351,0.016644,0.015138,0.016442,4.3 m,
06/14/2023,0.016443,0.016865,0.016082,0.016738,6 m,
06/15/2023,0.016747,0.018231,0.016308,0.018231,5.1 m,
06/16/2023,0.018661,0.022684,0.017865,0.022424,15 m,
06/17/2023,0.022427,0.022427,0.020092,0.020705,13.5 m,
06/18/2023,0.020494,0.021675,0.020164,0.021277,7.6 m,
06/19/2023,0.021305,0.021562,0.020056,0.020086,4.9 m,
06/20/2023,0.020079,0.021599,0.018786,0.021599,6.2 m,
06/21/2023,0.021642,0.023077,0.020898,0.022953,7.6 m,
06/22/2023,0.022964,0.02439,0.022526,0.023808,9.3 m,
06/23/2023,0.023865,0.027879,0.023286,0.026868,11.6 m,
06/24/2023,0.026716,0.028005,0.026116,0.026554,14 m,
06/25/2023,0.02667,0.027054,0.024385,0.025237,11.7 m,
06/26/2023,0.025183,0.026269,0.024835,0.025608,7.7 m,
06/27/2023,0.025628,0.026033,0.024515,0.02467,6.3 m,
06/28/2023,0.024712,0.027545,0.023935,0.027497,8.5 m,
06/29/2023,0.027391,0.027391,0.02516,0.025337,9.9 m,
06/30/2023,0.025284,0.026494,0.025216,0.025806,7.2 m,
07/01/2023,0.025772,0.026884,0.025469,0.026085,6.7 m,
07/02/2023,0.026049,0.02607,0.02525,0.02537,5.9 m,
07/03/2023,0.02543,0.025555,0.024529,0.024702,4.9 m,
07/04/2023,0.024724,0.024835,0.02312,0.024212,7.5 m,
07/05/2023,0.024233,0.024691,0.023301,0.02378,7.3 m,
07/06/2023,0.023667,0.023804,0.02117,0.022382,6.6 m,
07/07/2023,0.021932,0.021981,0.02025,0.021247,10.1 m,
07/08/2023,0.021205,0.023942,0.021165,0.023497,8.1 m,
